Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Lonicera morrowii,Lonicera morrowii,,1,Synonym,Lonicera tatarica var. morrowii,"(A. Gray) Q. E. Yang, Landrein, Borosova & J. Osborne",Caprifoliaceae,tpl, ,
Lonicera ruprechtiana,Lonicera ruprechtiana,,1,Accepted,Lonicera ruprechtiana,Regel,Caprifoliaceae,tpl;tropicos;usda, ,
Lonicera sempervirens,Lonicera sempervirens,,1,Accepted,Lonicera sempervirens,L.,Caprifoliaceae,tpl;tropicos;usda, ,
Lonicera standishii,Lonicera standishii,,1,Accepted,Lonicera standishii,Jacques,Caprifoliaceae,tpl;tropicos;usda, ,
Lonicera tatarica,Lonicera tatarica,,1,Accepted,Lonicera tatarica,L.,Caprifoliaceae,tpl;tropicos;usda, ,
Lonicera x bella,Lonicera x bella,,1,No opinion,,,,tpl, ,
Lonicera x heckrottii,Lonicera x heckrottii,,1,No opinion,,,,tpl, ,
Lonicera x minutiflora,Lonicera x minutiflora,,1,No opinion,,,,tpl, ,
Lonicera x notha,Lonicera x notha,,1,No opinion,,,,tpl, ,
Lonicera x xylosteoides,Lonicera x xylosteoides,,1,No opinion,,,,tpl, ,
Lonicera xylosteum,Lonicera xylosteum,,1,Accepted,Lonicera xylosteum,L.,Caprifoliaceae,tpl;tropicos;usda, ,
Lysimachia nummularia,Lysimachia nummularia,,1,Accepted,Lysimachia nummularia,L.,Primulaceae,tpl;tropicos;usda, ,
Lythrum salicaria,Lythrum salicaria,,1,Accepted,Lythrum salicaria,L.,Lythraceae,tpl;tropicos;usda, ,
Maclura pomifera,Maclura pomifera,,1,Accepted,Maclura pomifera,(Raf.) C.K.Schneid.,Moraceae,tpl, ,
Melilotus officinalis,Melilotus officinalis,,1,No opinion,,,,tpl, ,
Mentha spicata,Mentha spicata,,1,Accepted,Mentha spicata,L.,Lamiaceae,tpl;tropicos;usda, ,
Mentha x piperita,Mentha x piperita,,1,Accepted,Mentha x piperita,L.,Lamiaceae,tpl, ,
Microstegium vimineum,Microstegium vimineum,,1,Accepted,Microstegium vimineum,(Trin.) A.Camus,Poaceae,tpl, ,
Miscanthus sinensis,Miscanthus sinensis,,1,Accepted,Miscanthus sinensis,Andersson,Poaceae,tpl;tropicos;usda, ,
Morus alba,Morus alba,,1,Accepted,Morus alba,L.,Moraceae,tpl;tropicos;usda, ,
Myriophyllum spicatum,Myriophyllum spicatum,,1,Accepted,Myriophyllum spicatum,L.,Haloragaceae,tpl;tropicos;usda, ,
Najas minor,Najas minor,,1,Accepted,Najas minor,All.,Hydrocharitaceae,tpl;tropicos;usda, ,
Nasturtium officinale,Nasturtium officinale,,1,Accepted,Nasturtium officinale,R.Br.,Brassicaceae,tpl, ,
Ornithogalum umbellatum,Ornithogalum umbellatum,,1,Accepted,Ornithogalum umbellatum,L.,Asparagaceae,tpl;tropicos;usda, ,
Pastinaca sativa,Pastinaca sativa,,1,Accepted,Pastinaca sativa,L.,Apiaceae,tpl;tropicos;usda, ,
Phalaris arundinacea,Phalaris arundinacea,,1,Accepted,Phalaris arundinacea,L.,Poaceae,tpl;tropicos;usda, ,
Phragmites australis,Phragmites australis,,1,Accepted,Phragmites australis,(Cav.) Trin. ex Steud.,Poaceae,tpl;tropicos;usda, ,
Poa pratensis,Poa pratensis,,1,Accepted,Poa pratensis,L.,Poaceae,tpl;tropicos;usda, ,
Populus alba,Populus alba,,1,Accepted,Populus alba,L.,Salicaceae,tpl;tropicos;usda, ,
Potamogeton crispus,Potamogeton crispus,,1,Accepted,Potamogeton crispus,L.,Potamogetonaceae,tpl;tropicos;usda, ,
Pueraria montana var. lobata,Pueraria montana var. lobata,,1,Accepted,Pueraria montana var. lobata,(Willd.)Sanjappa & Pradeep,Fabaceae,ildis, ,
Pyrus calleryana,Pyrus calleryana,,1,Accepted,Pyrus calleryana,Decne.,Rosaceae,tpl;tropicos;usda, ,
Reynoutria japonica,Reynoutria japonica,,1,Accepted,Reynoutria japonica,Houtt.,Polygonaceae,tpl, ,
Rhamnus cathartica,Rhamnus cathartica,,1,Accepted,Rhamnus cathartica,L.,Rhamnaceae,tpl;tropicos;usda, ,
Rhamnus davurica,Rhamnus davurica,,1,Accepted,Rhamnus davurica,Pall.,Rhamnaceae,tpl;tropicos;usda, ,
Rhamnus japonica,Rhamnus japonica,,1,Accepted,Rhamnus japonica,Maxim.,Rhamnaceae,tpl;tropicos;usda, ,
Rhamnus utilis,Rhamnus utilis,,1,Accepted,Rhamnus utilis,Decne.,Rhamnaceae,tpl;tropicos;usda, ,
Rhodotypos scandens,Rhodotypos scandens,,1,Accepted,Rhodotypos scandens,(Thunb.) Makino,Rosaceae,tpl;tropicos;usda, ,
Robinia pseudoacacia,Robinia pseudoacacia,,1,Accepted,Robinia pseudoacacia,,Fabaceae,tpl, ,
Rosa multiflora,Rosa multiflora,,1,Accepted,Rosa multiflora,Thunb.,Rosaceae,tpl;tropicos;usda, ,
Securigera varia,Securigera varia,,1,Accepted,Securigera varia,(L.)Lassen,Fabaceae,ildis, ,
Setaria faberi,Setaria faberi,,1,Accepted,Setaria faberi,R.A.W.Herrm.,Poaceae,tpl, ,
Setaria italica,Setaria italica,,1,Accepted,Setaria italica,(L.) P.Beauv.,Poaceae,tpl, ,
Setaria verticillata,Setaria verticillata,,1,Accepted,Setaria verticillata,(L.) P.Beauv.,Poaceae,tpl, ,
Setaria viridis,Setaria viridis,,1,Accepted,Setaria viridis,(L.) P.Beauv.,Poaceae,tpl, ,
Solanum dulcamara,Solanum dulcamara,,1,Accepted,Solanum dulcamara,L.,Solanaceae,tpl;tropicos;usda, ,
Sorghum halepense,Sorghum halepense,,1,Accepted,Sorghum halepense,(L.) Pers.,Poaceae,tpl;tropicos;usda, ,
Torilis arvensis,Torilis arvensis,,1,Accepted,Torilis arvensis,(Huds.) Link,Apiaceae,tpl;tropicos;usda, ,
Tragopogon dubius,Tragopogon dubius,,1,Accepted,Tragopogon dubius,Scop.,Asteraceae,tropicos;usda, ,
Tribulus terrestris,Tribulus terrestris,,1,Accepted,Tribulus terrestris,L.,Zygophyllaceae,tpl;tropicos;usda, ,
Ulmus pumila,Ulmus pumila,,1,Accepted,Ulmus pumila,L.,Ulmaceae,tpl;tropicos;usda, ,
Verbascum thapsus,Verbascum thapsus,,1,Accepted,Verbascum thapsus,L.,Scrophulariaceae,tpl;tropicos;usda, ,
Vicia sativa,Vicia sativa,,1,Accepted,Vicia sativa,,Fabaceae,tpl, ,
Wisteria floribunda,Wisteria floribunda,,1,Accepted,Wisteria floribunda,,Fabaceae,tpl, ,
Wisteria sinensis,Wisteria sinensis,,1,Accepted,Wisteria sinensis,,Fabaceae,tpl, ,
