Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Quercus macrocarpa,Quercus macrocarpa,,1,Accepted,Quercus macrocarpa,Michx.,Fagaceae,tpl;tropicos;usda, ,
Quercus palustris,Quercus palustris,,1,Accepted,Quercus palustris,Münchh.,Fagaceae,tpl;tropicos;usda, ,
Quercus rubra,Quercus rubra,,1,Accepted,Quercus rubra,L.,Fagaceae,tpl;tropicos;usda, ,
Quercus sp.,Quercus,,0.9,Accepted,Quercus,,Fagaceae,tpl, ,
Quercus species,Quercus,,0.9,Accepted,Quercus,,Fagaceae,tpl, ,
Quercus velutina,Quercus velutina,,1,Accepted,Quercus velutina,Lam.,Fagaceae,tpl;tropicos;usda, ,
Ranunculus abortivus,Ranunculus abortivus,,1,Accepted,Ranunculus abortivus,L.,Ranunculaceae,tpl;tropicos;usda, ,
Ranunculus hispidus,Ranunculus hispidus,,1,Accepted,Ranunculus hispidus,Michx.,Ranunculaceae,tpl;tropicos;usda, ,
Ranunculus pensylvanicus,Ranunculus pensylvanicus,,1,Accepted,Ranunculus pensylvanicus,L. f.,Ranunculaceae,tpl;tropicos;usda, ,
Ranunculus recurvatus,Ranunculus recurvatus,,1,Accepted,Ranunculus recurvatus,Poir.,Ranunculaceae,tpl;tropicos;usda, ,
Ranunculus sp.,Ranunculus,,0.9,Accepted,Ranunculus,,Ranunculaceae,tpl;usda, ,
Ranunculus species,Ranunculus,,0.9,Accepted,Ranunculus,,Ranunculaceae,tpl;usda, ,
Ratibida pinnata,Ratibida pinnata,,1,Accepted,Ratibida pinnata,(Vent.) Barnhart,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:1264B8E7-89E2-44D7-8E91-719554DC535F
Rhamnus carthartica,Rhamnus cathartica,,0.99,Accepted,Rhamnus cathartica,L.,Rhamnaceae,tpl;tropicos;usda, ,
Rhamnus cathartica,Rhamnus cathartica,,1,Accepted,Rhamnus cathartica,L.,Rhamnaceae,tpl;tropicos;usda, ,
Rhamnus frangula,Rhamnus frangula,,1,Synonym,Frangula alnus,Mill.,Rhamnaceae,tpl, ,
Rhamnus species,Rhamnus,,0.9,Accepted,Rhamnus,,Rhamnaceae,tpl, ,
Rhus glabra,Rhus glabra,,1,Accepted,Rhus glabra,L.,Anacardiaceae,tpl;tropicos;usda, ,
Rhus radicans,Rhus radicans,,1,Synonym,Toxicodendron radicans,(L.) Kuntze,Anacardiaceae,tpl;tropicos, ,
Rhus typhina,Rhus typhina,,1,Accepted,Rhus typhina,L.,Anacardiaceae,tpl;tropicos;usda, ,
Ribes americanum,Ribes americanum,,1,Accepted,Ribes americanum,Mill.,Grossulariaceae,tpl;tropicos;usda, ,
Ribes cynosbati,Ribes cynosbati,,1,Accepted,Ribes cynosbati,L.,Grossulariaceae,tpl;tropicos;usda, ,
Ribes missouriense,Ribes missouriense,,1,Accepted,Ribes missouriense,Nutt.,Grossulariaceae,tpl;tropicos;usda, ,
Ribes sp.,Ribes,,0.9,Accepted,Ribes,,Grossulariaceae,tpl;usda, ,
Ribes species,Ribes,,0.9,Accepted,Ribes,,Grossulariaceae,tpl;usda, ,
Robinia pseudoacacia,Robinia pseudoacacia,,1,Accepted,Robinia pseudoacacia,,Fabaceae,tpl, ,
Robinia pseudocacia,Robinia pseudoacacia,,0.99,Accepted,Robinia pseudoacacia,,Fabaceae,tpl, ,
Rosa carolina,Rosa carolina,,1,Accepted,Rosa carolina,L.,Rosaceae,tpl;tropicos;usda, ,
Rosa multiflora,Rosa multiflora,,1,Accepted,Rosa multiflora,Thunb.,Rosaceae,tpl;tropicos;usda, ,
Rosa sp.,Rosa,,0.9,Accepted,Rosa,,Rosaceae,tpl;usda, ,
Rosa species,Rosa,,0.9,Accepted,Rosa,,Rosaceae,tpl;usda, ,
rttf,Ruta,,0.5,Accepted,Ruta,,Rutaceae,tpl;usda, ,
Rubus allegheniensis,Rubus allegheniensis,,1,Accepted,Rubus allegheniensis,Porter,Rosaceae,tpl;tropicos;usda, ,
Rubus idaeus strigosus,Rubus idaeus subsp. strigosus,,0.96,Accepted,Rubus idaeus subsp. strigosus,(Michx.) Focke,Rosaceae,tpl, ,
Rubus occidentalis,Rubus occidentalis,,1,Accepted,Rubus occidentalis,L.,Rosaceae,tpl;tropicos;usda, ,
Rubus sp.,Rubus,,0.9,Accepted,Rubus,,Rosaceae,tpl;usda, ,
Rubus species,Rubus,,0.9,Accepted,Rubus,,Rosaceae,tpl;usda, ,
Rubus strigosus,Rubus strigosus,,1,Synonym,Rubus idaeus subsp. strigosus,(Michx.) Focke,Rosaceae,tpl, ,
Rudbeckia hirta,Rudbeckia hirta,,1,Accepted,Rudbeckia hirta,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:14D180B7-3E38-4452-B033-D5E649D6F7F6
Rumex crispus,Rumex crispus,,1,Accepted,Rumex crispus,L.,Polygonaceae,tpl;tropicos;usda, ,
Rumex orbiculatus,Rumex orbiculatus,,1,Synonym,Rumex britannica,L.,Polygonaceae,tpl, ,
Rumex sp.,Rumex,,0.9,Accepted,Rumex,,Polygonaceae,tpl;usda, ,
Sagittaria latifolia,Sagittaria latifolia,,1,Accepted,Sagittaria latifolia,Willd.,Alismataceae,tpl;tropicos;usda, ,
Salix amygdaloides,Salix amygdaloides,,1,Accepted,Salix amygdaloides,Andersson,Salicaceae,tpl;tropicos;usda, ,
Salix interior,Salix interior,,1,Accepted,Salix interior,Rowlee,Salicaceae,tpl;tropicos;usda, ,
Salix nigra,Salix nigra,,1,Accepted,Salix nigra,Marshall,Salicaceae,tpl;tropicos;usda, ,
Salix sp.,Salix,,0.9,Accepted,Salix,,Salicaceae,tpl;usda, ,
Sambucus canadensis,Sambucus canadensis,,1,Accepted,Sambucus canadensis,L.,Adoxaceae,tpl;tropicos, ,
Sanguinaria canadensis,Sanguinaria canadensis,,1,Accepted,Sanguinaria canadensis,L.,Papaveraceae,tpl;tropicos;usda, ,
Sanicula canadensis,Sanicula canadensis,,1,Accepted,Sanicula canadensis,L.,Apiaceae,tpl;tropicos;usda, ,
Sanicula odorata,Sanicula odorata,,1,Accepted,Sanicula odorata,(Raf.) Pryer & Phillippe,Apiaceae,tpl;tropicos, ,
Sanicula sp.,Sanicula,,0.9,Accepted,Sanicula,,Apiaceae,tpl;usda, ,
Schedonorus pratensis,Schedonorus pratensis,,1,Synonym,Festuca pratensis,Huds.,Poaceae,tpl, ,
Schizachyrium scoparium,Schizachyrium scoparium,,1,Accepted,Schizachyrium scoparium,(Michx.) Nash,Poaceae,tpl;tropicos;usda, ,
Scirpus atrovirens,Scirpus atrovirens,,1,Accepted,Scirpus atrovirens,Willd.,Cyperaceae,tpl;tropicos;usda, ,
Scirpus fluviatilis,Scirpus fluviatilis,,1,Synonym,Bolboschoenus fluviatilis,(Torr.) Soják,Cyperaceae,tpl, ,
Scirpus species,Scirpus,,0.9,Accepted,Scirpus,,Cyperaceae,tpl, ,
Scrophularia marilandica,Scrophularia marilandica,,1,Accepted,Scrophularia marilandica,L.,Scrophulariaceae,tpl;tropicos;usda, ,
Scrophularia species,Scrophularia,,0.9,Accepted,Scrophularia,,Scrophulariaceae,tpl, ,
Scutellaria galericulata,Scutellaria galericulata,,1,Accepted,Scutellaria galericulata,L.,Lamiaceae,tpl;tropicos;usda, ,
Scutellaria lateriflora,Scutellaria lateriflora,,1,Accepted,Scutellaria lateriflora,L.,Lamiaceae,tpl;tropicos;usda, ,
Securigera varia,Securigera varia,,1,Accepted,Securigera varia,(L.)Lassen,Fabaceae,ildis, ,
Sedge species,Sedum,,0.42,Accepted,Sedum,,Crassulaceae,tpl;usda, ,
Setaria faberi,Setaria faberi,,1,Accepted,Setaria faberi,R.A.W.Herrm.,Poaceae,tpl, ,
Setaria sp.,Setaria,,0.9,Accepted,Setaria,,Poaceae,tpl;usda, ,
Setaria species,Setaria,,0.9,Accepted,Setaria,,Poaceae,tpl;usda, ,
Shrub species,No suitable matches found.,,0,,,,,, ,
Silphium integrifolium,Silphium integrifolium,,1,Accepted,Silphium integrifolium,Michx.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:582A5B57-8E16-412F-A042-A4399CD2FA40
Silphium laciniatum,Silphium laciniatum,,1,Accepted,Silphium laciniatum,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:3D90A87D-8528-4E5F-A386-6B1FF1840600
Sium suave,Sium suave,,1,Accepted,Sium suave,Walter,Apiaceae,tpl;tropicos;usda, ,
Smilacina racemosa,Smilacina racemosa,,1,Synonym,Maianthemum racemosum,(L.) Link,Asparagaceae,tpl, ,
Smilacina species,Smilacina,,0.9,No opinion,,,,tpl, [Ambiguous match] ,
Smilax ecirrhata,Smilax ecirrhata,,1,Accepted,Smilax ecirrhata,(Engelm. ex Kunth) S.Watson,Smilacaceae,tpl, ,
Smilax hispida,Smilax hispida,,1,Synonym,Smilax tamnoides,L.,Smilacaceae,tpl;tropicos;usda, ,
Smilax illinoensis,Smilax illinoensis,,1,Accepted,Smilax illinoensis,Mangaly,Smilacaceae,tpl;tropicos;usda, ,
Smilax lasioneura,Smilax lasioneura,,1,Accepted,Smilax lasioneura,Hook.,Smilacaceae,tpl;tropicos;usda, ,
Smilax sp.,Smilax,,0.9,Accepted,Smilax,,Smilacaceae,tpl, ,
Smilax species,Smilax,,0.9,Accepted,Smilax,,Smilacaceae,tpl, ,
Smilax tamnoides hispida,Smilax tamnoides var. hispida,,0.96,Synonym,Smilax tamnoides,L.,Smilacaceae,tpl, ,
Solanum americanum,Solanum americanum,,1,Accepted,Solanum americanum,Mill.,Solanaceae,tpl;tropicos;usda, ,
Solanum carolinense,Solanum carolinense,,1,Accepted,Solanum carolinense,L.,Solanaceae,tpl;tropicos;usda, ,
Solanum dulcamara,Solanum dulcamara,,1,Accepted,Solanum dulcamara,L.,Solanaceae,tpl;tropicos;usda, ,
Solanum species,Solanum,,0.9,Accepted,Solanum,,Solanaceae,tpl, ,
Solidago canadensis,Solidago canadensis,,1,Accepted,Solidago canadensis,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:B734D161-8EB6-4443-A428-20E34D7DA8EC
Solidago flexicaulis,Solidago flexicaulis,,1,Accepted,Solidago flexicaulis,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:FCBB4948-4FCD-45D2-897E-D6A5745D37FB
Solidago gigantea,Solidago gigantea,,1,Accepted,Solidago gigantea,Aiton,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:830E56C9-8DEC-4A8C-B9C6-8655463ACDEF
Solidago graminifolia,Solidago graminifolia,,1,Synonym,Euthamia graminifolia,(L.) Nutt.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:12EE212B-DCC8-4BE4-B219-C1F7256F7C6A
Solidago nemoralis,Solidago nemoralis,,1,Accepted,Solidago nemoralis,Aiton,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:F94F0F34-FBD2-48C0-8B43-B66FC73B34F3
Solidago rigida,Solidago rigida,,1,Accepted,Solidago rigida,L.,Asteraceae,gcc;tropicos, ,urn:lsid:compositae.org:names:D2AFDCE3-AA8B-48AC-AC6A-8399181A2F42
Solidago sp.,Solidago,,0.9,Accepted,Solidago,,Asteraceae,tpl;usda, ,
Solidago species,Solidago,,0.9,Accepted,Solidago,,Asteraceae,tpl;usda, ,
Solidago tenuifolia,Solidago tenuifolia,,1,Synonym,Euthamia caroliniana,(L.) Greene ex Porter & Britton,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:09AF3EFD-F5AF-4E42-900B-9E8539CDF82F
Solidago ulmifolia,Solidago ulmifolia,,1,Accepted,Solidago ulmifolia,Hook.,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:A6A5A9AC-CF74-4533-9449-27EAB1146809
Sonchus arvensis,Sonchus arvensis,,1,Accepted,Sonchus arvensis,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:9ECA6031-FEB2-4687-9E3E-5A7DB69641D6
Sonchus asper,Sonchus asper,,1,Accepted,Sonchus asper,(L.) Hill,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:66DF1A4E-84EA-41AA-BD09-DE16767F4769
Sonchus sp.,Sonchus,,0.9,No opinion,,,,tpl, ,
Sonchus species,Sonchus,,0.9,No opinion,,,,tpl, ,
Sorghastrum nutans,Sorghastrum nutans,,1,Accepted,Sorghastrum nutans,(L.) Nash,Poaceae,tpl;tropicos;usda, ,
Sparganium eurycarpum,Sparganium eurycarpum,,1,Accepted,Sparganium eurycarpum,Engelm.,Typhaceae,tpl;tropicos;usda, ,
Spartina pectinata,Spartina pectinata,,1,Accepted,Spartina pectinata,Bosc ex Link,Poaceae,tpl;usda, ,
Stachys palustris,Stachys palustris,,1,Accepted,Stachys palustris,L.,Lamiaceae,tpl;tropicos;usda, ,
Stachys sp.,Stachys,,0.9,Accepted,Stachys,,Lamiaceae,tpl;usda, ,
Stachys tenuifolia,Stachys tenuifolia,,1,Accepted,Stachys tenuifolia,Willd.,Lamiaceae,tpl;tropicos;usda, ,
Staphylea trifolia,Staphylea trifolia,,1,Accepted,Staphylea trifolia,L.,Staphyleaceae,tpl;tropicos;usda, ,
Stylophorum diphyllum,Stylophorum diphyllum,,1,Accepted,Stylophorum diphyllum,(Michx.) Nutt.,Papaveraceae,tpl;tropicos;usda, ,
Symphyotrichum drummondii,Symphyotrichum drummondii,,1,Accepted,Symphyotrichum drummondii,(Lindl.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7E92236A-AF44-4120-8AEE-A4E040BA893F
Symphyotrichum ericoides,Symphyotrichum ericoides,,1,Accepted,Symphyotrichum ericoides,(L.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:DC9D8E69-A41F-4858-B499-28A90966345E
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,,1,Accepted,Symphyotrichum lanceolatum,(Willd.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:F3743A58-9A8C-4827-A19E-B4CB2CAAF3B1
Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,,1,Accepted,Symphyotrichum lateriflorum,(L.) Á.Löve & D.Löve,Asteraceae,gcc, ,urn:lsid:compositae.org:names:FABA6C06-F343-4CEC-AF2B-17DFE6A11170
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,,1,Accepted,Symphyotrichum novae-angliae,(L.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:BFC967B5-5C07-4F49-A561-66D9BF32C1EB
Symphyotrichum ontarionis,Symphyotrichum ontarionis,,1,Accepted,Symphyotrichum ontarionis,(Wiegand) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:45F66F8C-39E8-4764-8310-C9BB8717632F
Symphyotrichum pilosum,Symphyotrichum pilosum,,1,Accepted,Symphyotrichum pilosum,(Willd.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:B8851780-07FE-4029-8726-66EFF3A4DCE4
Symphyotrichum shortii,Symphyotrichum shortii,,1,Accepted,Symphyotrichum shortii,(Lindl.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7E7882FC-95AC-439F-A4BF-A43E23C22D8D
Symphyotrichum sp.,Symphyotrichum,,0.9,Accepted,Symphyotrichum,Nees,Asteraceae,gcc;tropicos, ,urn:lsid:compositae.org:names:8A1DD401-35B0-4D3C-948E-5CA1D113F9F2
Taraxacum officinale,Taraxacum officinale,,1,Synonym,Taraxacum campylodes,G.E.Haglund,Asteraceae,gcc, ,urn:lsid:compositae.org:names:47A19BF1-900A-43C4-BD2D-5C163EAB7E75
Teucrium canadense,Teucrium canadense,,1,Accepted,Teucrium canadense,L.,Lamiaceae,tpl;tropicos;usda, ,
Thalictrum dasycarpum,Thalictrum dasycarpum,,1,Accepted,Thalictrum dasycarpum,"Fisch., C.A.Mey. & Avé-Lall.",Ranunculaceae,tpl, ,
Thalictrum dioicum,Thalictrum dioicum,,1,Accepted,Thalictrum dioicum,L.,Ranunculaceae,tpl;tropicos;usda, ,
Thalictrum thalictroides,Thalictrum thalictroides,,1,Synonym,Anemonella thalictroides,(L.) Spach,Ranunculaceae,tpl, ,
Thelypteris palustris,Thelypteris palustris,,1,Synonym,Thelypteris confluens,(Thunb.) C.V. Morton,Thelypteridaceae,tpl, ,
Tilia americana,Tilia americana,,1,Accepted,Tilia americana,L.,Malvaceae,tpl;tropicos;usda, ,
Torilis japonica,Torilis japonica,,1,Accepted,Torilis japonica,(Houtt.) DC.,Apiaceae,tpl;tropicos;usda, ,
Toxicodendron radicans,Toxicodendron radicans,,1,Accepted,Toxicodendron radicans,(L.) Kuntze,Anacardiaceae,tpl;tropicos;usda, ,
Tragopogon dubius,Tragopogon dubius,,1,Accepted,Tragopogon dubius,Scop.,Asteraceae,tropicos;usda, ,
Tragopogon sp.,Tragopogon,,0.9,No opinion,,,,tpl, ,
Tree species,Trema,,0.42,Accepted,Trema,,Cannabaceae,tpl;usda, ,
Trifolium hybridum,Trifolium hybridum,,1,No opinion,,,,tpl, ,
Trifolium pratense,Trifolium pratense,,1,No opinion,,,,tpl, ,
Trifolium repens,Trifolium repens,,1,Accepted,Trifolium repens,,Fabaceae,tpl, ,
Trifolium sp.,Trifolium,,0.9,Accepted,Trifolium,,Fabaceae,tpl, ,
Trillium grandiflorum,Trillium grandiflorum,,1,Accepted,Trillium grandiflorum,(Michx.) Salisb.,Melanthiaceae,tpl;tropicos;usda, ,
Trillium recurvatum,Trillium recurvatum,,1,Accepted,Trillium recurvatum,L.C.Beck,Melanthiaceae,tpl, ,
Triosteum perfoliatum,Triosteum perfoliatum,,1,Accepted,Triosteum perfoliatum,L.,Caprifoliaceae,tpl;tropicos;usda, ,
Typha angustifolia,Typha angustifolia,,1,Accepted,Typha angustifolia,L.,Typhaceae,tpl;tropicos;usda, ,
Typha latifolia,Typha latifolia,,1,Accepted,Typha latifolia,L.,Typhaceae,tpl;tropicos;usda, ,
Ulmus americana,Ulmus americana,,1,Accepted,Ulmus americana,L.,Ulmaceae,tpl;tropicos;usda, ,
Ulmus pumila,Ulmus pumila,,1,Accepted,Ulmus pumila,L.,Ulmaceae,tpl;tropicos;usda, ,
Ulmus rubra,Ulmus rubra,,1,Accepted,Ulmus rubra,Muhl.,Ulmaceae,tpl;tropicos;usda, ,
Ulmus sp.,Ulmus,,0.9,Accepted,Ulmus,,Ulmaceae,tpl;usda, ,
Ulmus species,Ulmus,,0.9,Accepted,Ulmus,,Ulmaceae,tpl;usda, ,
Unidentified,No suitable matches found.,,0,,,,,, ,
Unidentified forb,No suitable matches found.,,0,,,,,, ,
Unidentified seedling,No suitable matches found.,,0,,,,,, ,
Unidentified shrub,No suitable matches found.,,0,,,,,, ,
Unidentified sp.,No suitable matches found.,,0,,,,,, ,
Unidentified species,No suitable matches found.,,0,,,,,, ,
Unidentified species-3-leaved,No suitable matches found.,,0,,,,,, ,
Unidentified species-milky sap,No suitable matches found.,,0,,,,,, ,
Unidentified species-single leaf,No suitable matches found.,,0,,,,,, ,
Urtica dioica,Urtica dioica,,1,Accepted,Urtica dioica,L.,Urticaceae,tpl;tropicos;usda, ,
Uvularia grandiflora,Uvularia grandiflora,,1,Accepted,Uvularia grandiflora,Sm.,Colchicaceae,tpl;tropicos;usda, ,
Uvularia sessilifolia,Uvularia sessilifolia,,1,Accepted,Uvularia sessilifolia,L.,Colchicaceae,tpl;tropicos;usda, ,
Verbena urticifolia,Verbena urticifolia,,1,Accepted,Verbena urticifolia,L.,Verbenaceae,tpl;tropicos;usda, ,
Verbesina alternifolia,Verbesina alternifolia,,1,Accepted,Verbesina alternifolia,(L.) Britton ex Kearney,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:DA9F7876-616E-41B8-9E50-B2ACDC944AFE
Vernonia altissima,Vernonia altissima,,1,Synonym,Vernonia gigantea,(Walt.) trelease ex Branner & Coville,Asteraceae,gcc, ,urn:lsid:compositae.org:names:08926C1E-B369-470B-8800-702F19BEAAAD
Veronica sp.,Veronica,,0.9,Accepted,Veronica,,Plantaginaceae,tpl, ,
Veronicastrum virginicum,Veronicastrum virginicum,,1,Accepted,Veronicastrum virginicum,(L.) Farw.,Plantaginaceae,tpl;tropicos;usda, ,
